[2026-04-22T10:25:22.836Z] GET http://localhost:8787/assets/monsters/phaeton/b1/phaeton-b1-0.320.webp → 200 (15ms, 25054B)
[2026-04-22T10:25:22.836Z] GET http://localhost:8787/assets/monsters/glimmerbug/b2/glimmerbug-b2-0.320.webp → 200 (15ms, 23494B)
[2026-04-22T10:25:22.836Z] GET http://localhost:8787/assets/regions/the-scribe-downs/the-scribe-downs-bg-a1.640.webp → 200 (16ms, 46666B)
[2026-04-22T10:25:22.851Z] GET http://localhost:8787/assets/regions/the-scribe-downs/the-scribe-downs-bg-b2.1280.webp → 200 (?ms, 183028B)
[2026-04-22T10:25:22.851Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (68ms, ?B)
[2026-04-22T10:25:22.851Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (58ms, 48432B)
[2026-04-22T10:25:22.921Z] GET http://localhost:8787/?local=1&qa=eggs-random-a → 200 (7ms, 1235B)
[2026-04-22T10:25:22.942Z] GET https://fonts.googleapis.com/css2?family=Fraunces:opsz,wght@9..144,400;9..144,500;9..144,600&family=Inter:wght@400;500;600;700&display=swap → 200 (1ms, 14114B)
[2026-04-22T10:25:22.943Z] GET http://localhost:8787/styles/app.css → 200 (4ms, 128524B)
[2026-04-22T10:25:22.943Z] GET http://localhost:8787/src/bundles/home.bundle.js → 200 (15ms, 174013B)
[2026-04-22T10:25:22.943Z] GET http://localhost:8787/src/main.js → 200 (13ms, 51874B)
[2026-04-22T10:25:22.954Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, ?B)
[2026-04-22T10:25:22.956Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-22T10:25:22.962Z] GET http://localhost:8787/src/platform/core/store.js → 200 (5ms, 15011B)
[2026-04-22T10:25:22.962Z] GET http://localhost:8787/src/platform/core/local-review-profile.js → 200 (9ms, 4910B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/core/subject-registry.js → 200 (7ms, 747B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/ui/render.js → 200 (10ms, 73204B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/core/utils.js → 200 (9ms, 1644B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/core/dom-actions.js → 200 (7ms, 275B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/access/roles.js → 200 (11ms, 2125B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/hubs/admin-read-model.js → 200 (15ms, 6435B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/hubs/api.js → 200 (14ms, 2491B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/hubs/parent-read-model.js → 200 (15ms, 4971B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/hubs/shell-access.js → 200 (15ms, 4194B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/core/repositories/index.js → 200 (16ms, 1036B)
[2026-04-22T10:25:22.963Z] GET http://localhost:8787/src/platform/core/subject-runtime.js → 200 (17ms, 3003B)
